,month_year,temperature_berlin,temperature_brooklyn,year,month,temperature_berlin_ref,temperature_brooklyn_ref,climate_change_brooklyn,climate_change_berlin
65,2020-06,19.086666666666662,21.523333333333333,2020,6,16.511777777777777,20.587111111111113,0.9362222222222201,2.5748888888888857
66,2020-07,18.625806451612902,25.81935483870968,2020,7,18.017311827956988,23.61881720430107,2.200537634408608,0.6084946236559148
67,2020-08,22.299999999999997,24.19032258064516,2020,8,17.840215053763444,22.944301075268815,1.2460215053763442,4.459784946236553
68,2020-09,15.83,19.89,2020,9,14.38188888888889,19.17255555555555,0.7174444444444497,1.4481111111111105
69,2020-10,11.33548387096774,14.441935483870967,2020,10,9.983118279569892,12.965591397849462,1.4763440860215056,1.3523655913978487
70,2020-11,7.056666666666667,10.023333333333332,2020,11,4.608444444444445,7.424777777777778,2.5985555555555537,2.4482222222222214
71,2020-12,3.212903225806452,3.041935483870968,2020,12,0.930752688172043,1.325268817204301,1.7166666666666668,2.282150537634409
72,2021-01,0.7419354838709677,0.5967741935483871,2021,1,-1.0021505376344086,-2.1843010752688174,2.7810752688172045,1.7440860215053764
73,2021-02,-0.0107142857142857,-0.45,2021,2,0.1053128689492326,-1.0282172373081464,0.5782172373081464,-0.1160271546635183
74,2021-03,4.674193548387097,5.535483870967742,2021,3,3.471397849462366,3.786451612903226,1.7490322580645157,1.2027956989247315
75,2021-04,6.510000000000001,10.386666666666668,2021,4,7.770111111111111,9.29211111111111,1.0945555555555586,-1.2601111111111107
76,2021-05,11.996774193548386,15.44516129032258,2021,5,13.018387096774196,15.17731182795699,0.26784946236559115,-1.0216129032258099
77,2021-06,21.053333333333335,21.636666666666667,2021,6,16.511777777777777,20.587111111111113,1.0495555555555534,4.541555555555558
78,2021-07,20.38064516129032,23.806451612903224,2021,7,18.017311827956988,23.61881720430107,0.18763440860215397,2.3633333333333333
79,2021-08,17.57741935483871,24.374193548387098,2021,8,17.840215053763444,22.944301075268815,1.429892473118283,-0.26279569892473376
80,2021-09,15.99,20.873333333333335,2021,9,14.38188888888889,19.17255555555555,1.700777777777784,1.6081111111111106
