,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,temperature_brooklyn,feels_like_brooklyn,snowfall_brooklyn,rain_brooklyn,humidity_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn
3377,2024-10-12,3,75,8.4,5.0,0.0,0.0,7.011699999999999,10.837130555555555,Saturday,Cloudy,2,17.8,14.0,0.0,0.0,43,10.350475,11.252008333333334,2024-10,2024,10,fall,Saturday,Partly Cloudy,False,False,True,0.6470070618836935,0.9198780069632012,False,True
3378,2024-10-13,55,75,10.4,5.5,3.7,0.0,8.680102777777778,10.76995,Sunday,Heavy Drizzle,3,17.1,15.0,0.0,0.0,59,9.347911111111111,11.208197222222225,2024-10,2024,10,fall,Sunday,Cloudy,False,False,True,0.8059557173225297,0.8340245024041182,True,True
3384,2024-10-19,3,80,13.8,11.9,0.0,0.0,7.284902777777778,10.374661111111113,Saturday,Cloudy,0,12.8,10.5,0.0,0.0,60,10.011997222222222,10.951377777777775,2024-10,2024,10,fall,Saturday,Sunny,True,False,True,0.7021822399553612,0.9142226143032233,False,True
3385,2024-10-20,3,83,13.0,11.4,0.0,0.0,6.662063888888889,10.309866666666666,Sunday,Cloudy,2,14.3,12.2,0.0,0.0,61,9.951505555555554,10.909350000000002,2024-10,2024,10,fall,Sunday,Partly Cloudy,False,False,True,0.6461833216939975,0.9121996778502434,False,True
3391,2024-10-26,3,94,10.7,9.7,0.0,0.0,6.124597222222222,9.920169444444443,Saturday,Cloudy,2,13.7,9.4,0.0,0.0,45,9.549211111111113,10.657861111111112,2024-10,2024,10,fall,Saturday,Partly Cloudy,False,False,True,0.6173883678622201,0.8959781903289956,False,True
3392,2024-10-27,51,90,11.7,9.8,0.1,0.0,5.493552777777778,9.855575,Sunday,Light Drizzle,3,10.1,6.1,0.0,0.0,48,9.577605555555555,10.61640277777778,2024-10,2024,10,fall,Sunday,Cloudy,False,False,True,0.5574056082752937,0.9021516756695939,False,True
3398,2024-11-02,51,75,8.1,5.0,0.3,0.0,8.034786111111112,9.475475,Saturday,Light Drizzle,2,12.3,8.3,0.0,0.0,49,9.339180555555556,10.373983333333332,2024-11,2024,11,fall,Saturday,Partly Cloudy,False,False,True,0.8479560244854334,0.9002501985468994,True,True
3399,2024-11-03,3,84,4.5,1.4,0.0,0.0,7.995627777777777,9.413972222222222,Sunday,Cloudy,3,7.7,3.4,0.0,0.0,45,9.343336111111112,10.335025,2024-11,2024,11,fall,Sunday,Cloudy,False,False,True,0.8493362407532539,0.904045816155366,True,True
3405,2024-11-09,3,90,3.8,0.1,0.0,0.0,7.560461111111111,9.061672222222224,Saturday,Cloudy,3,8.9,3.8,0.0,0.0,38,9.0488,10.113283333333332,2024-11,2024,11,fall,Saturday,Cloudy,False,False,True,0.8343339866752577,0.894744041252676,True,True
3406,2024-11-10,3,93,1.5,-1.6,0.0,0.0,0.7081944444444445,9.005091666666667,Sunday,Cloudy,53,9.5,5.8,0.0,0.8,58,4.922838888888889,10.077844444444445,2024-11,2024,11,fall,Sunday,Drizzle,False,False,True,0.07864377961480434,0.488481333089307,False,False
3412,2024-11-16,3,80,6.6,3.1,0.0,0.0,4.817394444444444,8.67565,Saturday,Cloudy,0,10.8,6.1,0.0,0.0,37,8.791875,9.873105555555556,2024-11,2024,11,fall,Saturday,Sunny,True,False,True,0.5552776384990686,0.8904872889820212,False,True
3413,2024-11-17,55,86,6.1,2.1,3.7,0.0,1.7775944444444445,8.623061111111111,Sunday,Heavy Drizzle,3,11.7,7.6,0.0,0.0,36,8.74661388888889,9.840694444444445,2024-11,2024,11,fall,Sunday,Cloudy,False,False,True,0.20614424756354247,0.8888207979902051,False,True
3419,2024-11-23,51,81,2.0,-2.4,0.1,0.0,4.128313888888889,8.328338888888888,Saturday,Light Drizzle,51,5.8,1.5,0.0,1.0,77,8.622897222222223,9.660625,2024-11,2024,11,fall,Saturday,Light Drizzle,False,False,True,0.4956947530553312,0.892581714146054,False,True
