,day,is_very_sunny_brooklyn,is_very_sunny_berlin
3591,2025-05-14,True,True
3592,2025-05-15,True,True
3593,2025-05-16,True,False
3594,2025-05-17,True,False
3595,2025-05-18,False,False
3596,2025-05-19,True,False
3597,2025-05-20,True,True
3598,2025-05-21,True,True
3599,2025-05-22,False,False
3600,2025-05-23,False,True
3601,2025-05-24,True,False
3602,2025-05-25,True,False
3603,2025-05-26,False,False
3604,2025-05-27,False,False
3605,2025-05-28,True,False
3606,2025-05-29,False,True
3607,2025-05-30,False,False
3608,2025-05-31,False,True
3609,2025-06-01,False,False
3610,2025-06-02,True,True
3611,2025-06-03,True,True
3612,2025-06-04,True,False
3613,2025-06-05,True,False
3614,2025-06-06,False,False
3615,2025-06-07,False,True
3616,2025-06-08,True,True
3617,2025-06-09,False,True
3618,2025-06-10,False,False
3619,2025-06-11,False,False
3620,2025-06-12,False,True
3621,2025-06-13,True,True
3622,2025-06-14,False,True
3623,2025-06-15,True,False
