,day,sunny_flag_brooklyn,weather_description_brooklyn,sunny_flag_berlin,weather_description_berlin
3420,2024-11-24,False,Cloudy,False,Rain
3421,2024-11-25,False,Cloudy,False,Cloudy
3422,2024-11-26,False,Cloudy,False,Light Drizzle
3423,2024-11-27,True,Sunny,False,Light Rain
3424,2024-11-28,False,Cloudy,False,Light Rain
3425,2024-11-29,False,Cloudy,False,Light Drizzle
3426,2024-11-30,False,Light Snow,False,Cloudy
3427,2024-12-01,False,Snow,False,Mainly Sunny
3428,2024-12-02,False,Cloudy,False,Cloudy
3429,2024-12-03,False,Partly Cloudy,False,Drizzle
3430,2024-12-04,False,Cloudy,False,Light Drizzle
3431,2024-12-05,False,Cloudy,False,Light Drizzle
3432,2024-12-06,False,Cloudy,False,Light Rain
3433,2024-12-07,False,Snow,False,Drizzle
3434,2024-12-08,False,Snow,False,Light Drizzle
3435,2024-12-09,False,Mainly Sunny,False,Drizzle
3436,2024-12-10,True,Sunny,False,Light Drizzle
3437,2024-12-11,True,Sunny,False,Cloudy
3438,2024-12-12,True,Sunny,False,Cloudy
3439,2024-12-13,False,Cloudy,False,Cloudy
3440,2024-12-14,False,Light Snow,False,Drizzle
3441,2024-12-15,False,Snow,False,Drizzle
3442,2024-12-16,False,Cloudy,False,Light Drizzle
3443,2024-12-17,False,Cloudy,False,Light Drizzle
3444,2024-12-18,False,Cloudy,False,Light Drizzle
3445,2024-12-19,False,Snow,False,Light Rain
3446,2024-12-20,False,Snow,False,Light Drizzle
3447,2024-12-21,False,Light Snow,False,Light Drizzle
3448,2024-12-22,False,Mainly Sunny,False,Drizzle
3449,2024-12-23,True,Sunny,False,Snow
3450,2024-12-24,True,Sunny,False,Cloudy
3451,2024-12-25,True,Sunny,False,Light Drizzle
3452,2024-12-26,False,Cloudy,False,Light Drizzle
3453,2024-12-27,False,Cloudy,False,Cloudy
3454,2024-12-28,True,Sunny,False,Cloudy
3455,2024-12-29,False,Snow,False,Cloudy
3456,2024-12-30,False,Snow,False,Cloudy
3457,2024-12-31,False,Snow,False,Cloudy
3458,2025-01-01,False,Snow,False,Cloudy
3459,2025-01-02,False,Light Snow,False,Heavy Drizzle
3460,2025-01-03,False,Cloudy,False,Snow
3461,2025-01-04,False,Cloudy,False,Cloudy
3462,2025-01-05,False,Light Snow,False,Heavy Snow
3463,2025-01-06,False,Light Snow,False,Rain
3464,2025-01-07,False,Heavy Snow,False,Light Snow
3465,2025-01-08,False,Heavy Snow,False,Light Snow
3466,2025-01-09,True,Sunny,False,Heavy Snow
